"codigo_modelo;""codigo_marca"";""codigo_fipe"";""modelo"";""tipo""",
"4397;""13"";""011088-4"";""C4 PAL.Excl/Excl(Tech.) 2.0/2.0 Flex Aut"";""1""",
"4398;""13"";""011087-6"";""C4 PALLAS Exclusive 2.0/2.0 Flex 16V Mec"";""1""",
"4399;""13"";""011086-8"";""C4 PALLAS GLX 2.0/ 2.0 Flex Aut."";""1""",
"4400;""13"";""011085-0"";""C4 PALLAS GLX 2.0/2.0 Flex 16V Mec."";""1""",
"4401;""125"";""055022-1"";""Kyron 2.7 20V 165cv TDI Dies. Aut."";""1""",
"4402;""125"";""055023-0"";""Rexton II 3.2 V6 24V 220cv Aut."";""1""",
"4403;""26"";""015069-0"";""AZERA GLS 3.3 V6 24V 4p Aut."";""1""",
"4404;""43"";""023065-0"";""TIIDA S 1.8/1.8 Flex 16V  Mec."";""1""",
"4405;""43"";""023066-9"";""TIIDA S 1.8/1.8 Flex 16V Aut."";""1""",
"4406;""43"";""023067-7"";""TIIDA SL 1.8/1.8 Flex 16V  Mec."";""1""",
"4407;""43"";""023068-5"";""TIIDA SL 1.8/1.8 Flex 16V Aut."";""1""",
"4408;""43"";""023069-3"";""Frontier SE Vibe CD 2.8 TDI Dies."";""1""",
"4409;""22"";""003322-7"";""Fiesta TRAIL 1.0 8V Flex 5p"";""1""",
"4410;""22"";""003323-5"";""Fiesta TRAIL 1.6 8V Flex 5p"";""1""",
"4411;""41"";""022101-5"";""OUTLANDER 3.0/ GT 3.0 V6 Aut."";""1""",
"4416;""7"";""009124-3"";""335iA Cabriolet 3.0 24V 306cv"";""1""",
"4417;""33"";""033045-0"";""Discovery3 SE 2.7 4x4 TDI Diesel Aut."";""1""",
"4418;""58"";""029075-0"";""C30 T-5 2.5 230cv Mec."";""1""",
"4421;""21"";""001249-1"";""Punto  ELX 1.4 Fire Flex 8V 5p"";""1""",
"4422;""21"";""001248-3"";""Punto 1.4 Fire Flex 8V 5p"";""1""",
"4423;""21"";""001250-5"";""Punto HLX 1.8 Flex 8V 5p"";""1""",
"4424;""21"";""001251-3"";""Punto Sporting 1.8 Flex 8V/16V 5p"";""1""",
"4425;""31"";""018062-9"";""Magentis LX 2.0 16V Aut"";""1""",
"4431;""6"";""008127-2"";""TT Roadster 2.0 16v TFSI S-Tronic"";""1""",
"4432;""7"";""009125-1"";""550iA Security 4.8 32V"";""1""",
"4433;""23"";""004344-3"";""Vectra GT 2.0 MPFI 8V FlexPower Aut."";""1""",
"4434;""23"";""004343-5"";""Vectra GT 2.0 MPFI 8V FlexPower Mec."";""1""",
"4435;""23"";""004346-0"";""Vectra GT-X 2.0 MPFI 8V FlexPower Aut."";""1""",
"4436;""23"";""004345-1"";""Vectra GT-X 2.0 MPFI 8V FlexPower Mec."";""1""",
"4437;""28"";""016022-9"";""XKR Conversível 4.2/5.0 32V"";""1""",
"4438;""28"";""016021-0"";""XKR Coupe  4.2/5.0 32V"";""1""",
"4439;""29"";""017020-8"";""Wrangler Sport 3.8 V6 199cv"";""1""",
"4440;""31"";""018064-5"";""Cerato 1.6 16V Aut."";""1""",
"4441;""31"";""018063-7"";""Opirus GL 3.8 V6 24V 267cv Aut."";""1""",
"4442;""59"";""005266-3"";""TOUAREG 3.6 24V V6 280cv Tiptronic 5p"";""1""",
"4450;""58"";""029076-9"";""XC 90 3.2 238cv AWD 5p"";""1""",
"4451;""59"";""005267-1"";""Saveiro TITAN  1.6 Mi Total Flex 2p"";""1""",
"4473;""7"";""009126-0"";""130iA 3.0 24V 265cv 3p"";""1""",
"4474;""22"";""003324-3"";""Ranger XLS SPORT 2.3 16V 150cv CS"";""1""",
"4475;""23"";""004347-8"";""Meriva Prem.EASYTRONIC 1.8 FlexPower 5p"";""1""",
"4476;""31"";""018065-3"";""Bongo K-2500 2.5 4x2 TB Diesel"";""1""",
"4477;""31"";""018066-1"";""Sportage EX 2.0 16V Mec."";""1""",
"4478;""41"";""022103-1"";""L200 Triton HPE 3.2 CD TB Int.Diesel Aut"";""1""",
"4479;""41"";""022102-3"";""L200 Triton HPE 3.5 CD V6 24V Flex Aut."";""1""",
"4480;""48"";""025138-0"";""LOGAN Authentique Hi-Flex 1.6 8V 4p"";""1""",
"4481;""48"";""025139-9"";""LOGAN Expression Hi-Flex 1.6 8V 4p"";""1""",
"4482;""48"";""025140-2"";""LOGAN Privilège Hi-Flex 1.6 8V 4p"";""1""",
"4499;""33"";""033046-9"";""Range Rover Sport SE 3.6 TDV8 272cv Dies"";""1""",
"4500;""140"";""065003-0"";""SCORPIO 2.6 CD TB Diesel CRDe 4x4"";""1""",
"4501;""140"";""065002-1"";""SCORPIO 2.6 CS/ Chassi TB Dies. CRDe 4x4"";""1""",
"4502;""140"";""065001-3"";""SCORPIO GLX SUV 2.6 TB Diesel CRDe 4WD"";""1""",
"4503;""41"";""022104-0"";""L200 Triton HPE 3.2 CD TB Int.Diesel Mec"";""1""",
"4504;""48"";""025141-0"";""SANDERO Authentique Hi-Flex 1.0 16V 5p"";""1""",
"4505;""48"";""025142-9"";""SANDERO Authentique Hi-Flex 1.6 8V 5p"";""1""",
"4506;""48"";""025143-7"";""SANDERO Expression Hi-Flex 1.0 16V 5p"";""1""",
"4507;""48"";""025144-5"";""SANDERO Expression Hi-Flex 1.6 8V 5p"";""1""",
"4508;""48"";""025146-1"";""SANDERO Privilège Hi-Flex 1.6 16V 5p"";""1""",
"4509;""48"";""025145-3"";""SANDERO Privilège Hi-Flex 1.6 8V 5p"";""1""",
"4514;""22"";""003325-1"";""KA 1.0 8V/1.0 8V ST Flex 3p"";""1""",
"4515;""22"";""003326-0"";""KA 1.6 8V Flex 3p"";""1""",
"4516;""39"";""021206-7"";""CL-63 AMG 6.2 V8 32V 525cv"";""1""",
"4517;""39"";""021204-0"";""S-63 AMG 6.2 V8 525cv Aut"";""1""",
"4518;""39"";""021205-9"";""S-63 L AMG 6.2 V8/5.5 V8 Bi-TB Aut"";""1""",
"4519;""43"";""023070-7"";""Frontier SEL CD 4x4 2.5 TB Diesel"";""1""",
"4520;""43"";""023071-5"";""Frontier SEL CD 4x4 2.5 TB Diesel Aut."";""1""",
"4521;""59"";""005270-1"";""Parati SURF 1.6 Mi Total Flex"";""1""",
"4522;""59"";""005271-0"";""Parati SURF 1.8 Mi Total Flex"";""1""",
"4523;""59"";""005268-0"";""Saveiro SURF 1.6 Mi Total Flex 2p"";""1""",
"4524;""59"";""005269-8"";""Saveiro SURF 1.8 Mi Total Flex 2p"";""1""",
"4526;""6"";""008128-0"";""A6 3.2 FSI 24V 255cv Multitronic"";""1""",
"4527;""7"";""009127-8"";""M3 Coupê 4.0 32V"";""1""",
"4528;""12"";""010029-3"";""300 C 3.5 V6 249cv"";""1""",
"4529;""21"";""001252-1"";""Stilo Dualogic 1.8 Flex 8V 5p"";""1""",
"4530;""21"";""001253-0"";""Stilo Dualogic 1.8 SP Flex 8V 5p"";""1""",
"4531;""21"";""001254-8"";""Stilo Dualogic 1.8 Sporting Flex 8V 5p"";""1""",
"4532;""33"";""033048-5"";""Defender 110 2.4 122cv T.Diesel"";""1""",
"4533;""33"";""033047-7"";""Defender 90 2.4 122cv T.Diesel"";""1""",
"4534;""39"";""021207-5"";""Sprinter 413 VAN Luxo 2.2 16 e 20L Dies"";""1""",
"4535;""125"";""055025-6"";""ACTYON 2.0 16V 141cv Diesel"";""1""",
"4536;""125"";""055024-8"";""ACTYON SPORTS 2.0 16V 141cv Diesel"";""1""",
"4563;""2"";""060004-0"";""MARRUÁ AM 100 2.8 CD TDI Diesel"";""1""",
"4564;""2"";""060003-2"";""MARRUÁ AM 100 2.8  CS TDI Diesel"";""1""",
"4565;""2"";""060006-7"";""MARRUÁ AM 150 2.8 CD TDI Diesel"";""1""",
"4566;""2"";""060005-9"";""MARRUÁ AM 150 2.8  CS TDI Diesel"";""1""",
"4567;""2"";""060008-3"";""MARRUÁ AM 200 2.8  CD TDI Diesel"";""1""",
"4568;""2"";""060007-5"";""MARRUÁ AM 200 2.8 CS TDI Diesel"";""1""",
"4569;""2"";""060002-4"";""MARRUÁ AM 50 2.8 140cv TDI Diesel"";""1""",
"4575;""17"";""013026-5"";""Ram 2500 TROPIVAN 5.9 SLT TDI 4x4 Dies."";""1""",
"4576;""23"";""004348-6"";""Vectra Elite 2.0 MPFI 8V FlexPower Aut."";""1""",
"4577;""43"";""023073-1"";""Pathfinder SE 2.5 16V TDI Diesel Aut."";""1""",
"4578;""43"";""023072-3"";""Pathfinder SE 4.0 V6 24V 266cv Aut."";""1""",
"4579;""48"";""025147-0"";""Megane Coupé Cabriolet Dynamique 2.0 Aut"";""1""",
"4580;""48"";""025148-8"";""Scénic Grand Dynamique 2.0 16V 5p Aut."";""1""",
"4585;""7"";""009128-6"";""X5 Endurance 4.8is 4x4 V8 32V 355cv Aut."";""1""",
"4586;""44"";""024144-0"";""206 SW Moonlight 1.4 Flex 8V 5p"";""1""",
"4587;""54"";""027050-4"";""Impreza WRX 2.5 16V TB 4x4 5p"";""1""",
"4623;""12"";""010030-7"";""TOWN & COUNTRY Limited 3.8 /3.6 V6 Aut."";""1""",
"4624;""48"";""025149-6"";""Megane Sed. Expression 2.0 16V Aut."";""1""",
"4627;""39"";""021208-3"";""E-350 Sport 3.5 V6 272cv"";""1""",
"4628;""58"";""029077-7"";""V50 2.4 20V 140cv Aut."";""1""",
"4629;""25"";""014053-8"";""CR-V EXL 2.0 16V 4WD/2.0 Flexone Aut."";""1""",
"4630;""25"";""014054-6"";""CR-V LX 2.0 16V 2WD/2.0 Flexone Aut."";""1""",
"4631;""47"";""035037-0"";""Cayenne GTS 4.8 405/420cv"";""1""",
"4637;""147"";""066001-9"";""M-100 1.0 8V 5p"";""1""",
"4638;""147"";""066002-7"";""ULC FURGÃO 1.0 8V 5p"";""1""",
"4639;""147"";""066004-3"";""ULC PICAPE 1.0 8V 2p"";""1""",
"4640;""147"";""066003-5"";""ULC VAN 1.0 8V 5p"";""1""",
"4641;""25"";""014055-4"";""Accord Sedan EX 3.5 V6 24V"";""1""",
"4642;""41"";""022105-8"";""Pajero TR4 GLS 2.0 Flex 16V 4x4 Mec."";""1""",
"4643;""48"";""025150-0"";""Clio Campus Hi-Flex 1.0 16V 3p"";""1""",
"4644;""48"";""025151-8"";""Clio Campus Hi-Flex 1.0 16V 5p"";""1""",
"4645;""54"";""027053-9"";""Impreza 1.5 16V 115cv Aut."";""1""",
"4646;""54"";""027054-7"";""Impreza 1.5 16V 115cv Mec."";""1""",
"4647;""54"";""027051-2"";""Impreza 2.0 16V 160cv Aut."";""1""",
"4648;""54"";""027052-0"";""Impreza 2.0 16V 160cv Mec."";""1""",
"4649;""59"";""005272-8"";""JETTA Variant 2.5 20V 170cv Tiptronic"";""1""",
"4659;""149"";""067001-4"";""Buggy Plus 1.6 8V"";""1""",
"4660;""149"";""067003-0"";""Buggy Vip 1.6 8V Total Flex"";""1""",
"4661;""149"";""067002-2"";""Buggy Vip 1.8 8V"";""1""",
"4662;""39"";""021210-5"";""C-200 Touring Komp. Avant. 1.8 16V Aut."";""1""",
"4663;""39"";""021209-1"";""C-63 AMG 6.2 V8 Aut."";""1""",
"4666;""48"";""025152-6"";""SANDERO NOKIA Hi-Flex 1.6 16V 5p"";""1""",
"4667;""13"";""011089-2"";""C4 Picasso Grand 2.0 16V 143cv Aut"";""1""",
"4668;""59"";""005274-4"";""Fox extreme 1.6 Mi Total Flex 8V 5p"";""1""",
"4669;""59"";""005273-6"";""Golf  TECH 1.6 Mi Total Flex 8V 4p"";""1""",
"4673;""21"";""001255-6"";""Palio Weekend Adventure LOCKER 1.8 Flex"";""1""",
"4674;""21"";""001256-4"";""Palio Weekend Trekking 1.4 Fire Flex 8V"";""1""",
"4675;""23"";""004349-4"";""S10 P-Up Advantage 2.4 MPFI F.Power CS"";""1""",
"4676;""23"";""004350-8"";""S10 P-Up Executive 2.4 MPFI F.Power CD"";""1""",
"4677;""48"";""025153-4"";""Megane Grand Tour Privilège 2.0 16V Aut."";""1""",
"4683;""7"";""009130-8"";""120iA Cabrio 2.0 16V 156cv 2p"";""1""",
"4684;""31"";""018067-0"";""Carens EX 2.0 16V  Aut."";""1""",
"4685;""39"";""021211-3"";""E-500 Sport Avantgarde 5.0 V8 24V 4p Aut"";""1""",
"4686;""39"";""021212-1"";""ML-320 3.0 V6 224cv 4x4 diesel"";""1""",
"4687;""48"";""025154-2"";""Megane Sed. Expression 2.0 16V Mec."";""1""",
"4688;""54"";""027055-5"";""TRIBECA 3.6 24V 270cv 5p Aut."";""1""",
"4689;""59"";""005275-2"";""Gol (novo) 1.0 Mi Total Flex 8V 4p"";""1""",
"4690;""59"";""005277-9"";""Gol (novo) 1.6 Power/Highi T.Flex 8v 4P"";""1""",
"4691;""59"";""005276-0"";""Gol (novo) 1.6 Mi Total Flex 8V 4p"";""1""",
"4694;""6"";""008129-9"";""Q7 3.6 V6 284cv Quattro Tiptronic"";""1""",
"4695;""36"";""034018-9"";""GranTurismo 4.2 V8 32V 405cv"";""1""",
"4696;""36"";""034019-7"";""Quattroporte Automatica 4.2 32V 400cv"";""1""",
"4697;""54"";""027056-3"";""Impreza WRX STI 2.5 16V TB 4x4"";""1""",
"4700;""7"";""009129-4"";""120iA 2.0 16V 156cv 3p"";""1""",
"4701;""39"";""021213-0"";""SL-63 AMG 6.2 V8 525cv Aut"";""1""",
"4702;""39"";""021214-8"";""SL-65 AMG 6.0 V12 612cv Aut"";""1""",
"4703;""59"";""005278-7"";""Golf GT 2.0 Mi Total Flex 8V 4p"";""1""",
"4704;""28"";""016023-7"";""XF 3.0 V6 24V 240cv Aut."";""1""",
"4705;""28"";""016024-5"";""XF 4.2 V8 32V 300cv Aut."";""1""",
"4706;""28"";""016025-3"";""XF SV8 4.2 V8 32V 420cv Aut."";""1""",
"4717;""39"";""021215-6"";""C-350 Sport 3.5 V6 272cv"";""1""",
"4718;""44"";""024152-0"";""207 SW XR 1.4 Flex 8V 5p"";""1""",
"4719;""44"";""024153-9"";""207 SW XR Sport 1.4 Flex 8V 5p"";""1""",
"4720;""44"";""024154-7"";""207 SW XS 1.6 Flex 16V 5p Aut."";""1""",
"4721;""44"";""024145-8"";""207 XR 1.4 Flex 8V 3p"";""1""",
"4722;""44"";""024146-6"";""207 XR 1.4 Flex 8V 5p"";""1""",
"4723;""44"";""024147-4"";""207 XR Sport 1.4 Flex 8V 3p"";""1""",
"4724;""44"";""024148-2"";""207 XR Sport 1.4 Flex 8V 5p"";""1""",
"4725;""44"";""024149-0"";""207 XS 1.6 Flex 16V 3p"";""1""",
"4726;""44"";""024150-4"";""207 XS 1.6 Flex 16V 5p"";""1""",
"4727;""44"";""024151-2"";""207 XS 1.6 Flex 16V 5p Aut."";""1""",
"4728;""48"";""025155-0"";""Megane Grand Tour Expres.Hi-Flex 1.6 16V"";""1""",
"4729;""59"";""005279-5"";""SPACEFOX  SPORTLINE/HIGHLINE 1.6 T.Flex"";""1""",
"4731;""6"";""008130-2"";""A4 3.2 FSI 24V 269cv Quattro Tiptronic"";""1""",
"4732;""17"";""013027-3"";""JOURNEY SXT 2.7 V6 185cv Aut."";""1""",
"4733;""21"";""001257-2"";""Strada Adventure 1.8/ 1.8 LOCKER Flex CE"";""1""",
"4734;""23"";""004352-4"";""CAPTIVA SPORT AWD 3.6 V6 24V 261cv 4x4"";""1""",
"4735;""23"";""004351-6"";""CAPTIVA SPORT FWD 3.6 V6 24V 261cv 4x2"";""1""",
"4736;""43"";""023075-8"";""X-TRAIL LE 2.0 16V 138cv Aut."";""1""",
"4737;""43"";""023074-0"";""X-TRAIL SE 2.0 16V 138cv Aut."";""1""",
"4745;""7"";""009131-6"";""X6 XDRIVE 35i 3.0 306cv Bi-Turbo"";""1""",
"4746;""7"";""009132-4"";""X6 XDRIVE 50i 4.4 407cv Bi-Turbo"";""1""",
"4748;""21"";""001258-0"";""LINEA 1.9/ HLX 1.9/ 1.8 Flex 16V 4p"";""1""",
"4749;""21"";""001260-2"";""LINEA ABSOLUTE 1.9/1.8 Flex Dualogic 4p"";""1""",
"4750;""21"";""001259-9"";""LINEA 1.9/ HLX 1.9/1.8 Flex  Dualogic 4p"";""1""",
"4751;""21"";""001261-0"";""LINEA T-JET 1.4 16V Turbo 4p"";""1""",
"4752;""59"";""005283-3"";""VOYAGE 1.0/1.0 City Mi Total Flex 8V 4p"";""1""",
"4753;""59"";""005282-5"";""VOYAGE 1.6/1.6 City  Mi Total Flex 8V 4p"";""1""",
"4754;""59"";""005280-9"";""VOYAGE COMF/Highli. 1.6 Mi T.Flex 8V 4p"";""1""",
"4755;""59"";""005281-7"";""VOYAGE TREND 1.6 Mi Total Flex 8V 4p"";""1""",
"4761;""13"";""011091-4"";""C3 Excl./Excl.Solar./Sonora 1.6 Flex Aut"";""1""",
"4762;""13"";""011090-6"";""C3 GLX 1.6 Flex 16V 5p  Aut."";""1""",
"4763;""21"";""001264-5"";""Uno Mille Celeb. WAY ECON. 1.0 F.Flex 2p"";""1""",
"4764;""21"";""001265-3"";""Uno Mille Celeb. WAY ECON. 1.0 F.Flex 4p"";""1""",
"4765;""21"";""001262-9"";""Uno Mille WAY ECONOMY 1.0 F.Flex 2p"";""1""",
"4766;""21"";""001263-7"";""Uno Mille WAY ECONOMY 1.0 F.Flex 4p"";""1""",
"4767;""23"";""004355-9"";""Meriva Expres.EASYTRONIC 1.8 FlexPower"";""1""",
"4768;""23"";""004353-2"";""Meriva Joy 1.4 MPFI 8V ECONOFLEX 5p"";""1""",
"4769;""23"";""004354-0"";""Meriva Maxx 1.4 MPFI 8V ECONOFLEX 5p"";""1""",
"4770;""23"";""004356-7"";""Meriva SS EASYTRONIC 1.8 FlexPower 5p"";""1""",
"4771;""152"";""068002-8"";""Towner Furgão 1.0 8V 48cv 5p"";""1""",
"4772;""152"";""068001-0"";""Towner Passageiro 1.0 8V 48cv 7L 5p"";""1""",
"4773;""152"";""068003-6"";""Towner Pick-Up 1.0 8V 48cv 2p"";""1""",
"4774;""39"";""021216-4"";""E-500 Avant. 5.0 V8 4p Aut. (Blindada)"";""1""",
"4775;""43"";""023080-4"";""Frontier LE CD 4x4 2.5 TB Diesel Aut."";""1""",
"4776;""43"";""023079-0"";""Frontier LE CD 4x4 2.5 TB Diesel Mec."";""1""",
"4777;""43"";""023077-4"";""Frontier SE/SE Strik CD 4x2 2.5 TB Dies."";""1""",
"4778;""43"";""023078-2"";""Frontier SE/SE Strik CD 4x4 2.5 TB Dies."";""1""",
"4779;""43"";""023076-6"";""Frontier XE CD 4x2 2.5 TB Diesel"";""1""",
"4780;""48"";""025156-9"";""SANDERO STEPWAY Hi-Flex 1.6 16V 5p"";""1""",
"4789;""22"";""003327-8"";""KA 1.0 TECNO 8V Flex 3p"";""1""",
"4790;""22"";""003328-6"";""KA 1.6 TECNO 8V Flex 3p"";""1""",
"4791;""153"";""069002-3"";""HOVER CUV 2.4 16V 4WD 5p Mec."";""1""",
"4792;""153"";""069001-5"";""HOVER CUV 2.4 16V 5p Mec."";""1""",
"4793;""44"";""024156-3"";""207 Sed. Passion XR Sport 1.4 Flex 8V 4p"";""1""",
"4794;""44"";""024155-5"";""207 Sedan Passion XR 1.4 Flex 8V 4p"";""1""",
"4795;""44"";""024157-1"";""207 Sedan Passion XS 1.6 Flex 16V 4p"";""1""",
"4796;""44"";""024158-0"";""207 Sedan Passion XS 1.6 Flex 16V 4p Aut"";""1""",
"4797;""59"";""005284-1"";""Polo GT 2.0 Mi Total Flex 8V 5p"";""1""",
"4798;""6"";""008131-0"";""A5 3.2 FSI 24V 269cv Multitronic"";""1""",
"4799;""25"";""014056-2"";""Fit EXL 1.5 Flex/Flexone 16V 5p Aut"";""1""",
"4800;""25"";""014057-0"";""Fit EXL 1.5 Flex 16V 5p Mec"";""1""",
"4801;""26"";""015070-3"";""H1 Starex SVX 2.4 16V"";""1""",
"4802;""41"";""022106-6"";""Pajero Full GLS/GLS/PKHPE 3.2 Dies.TI 5p"";""1""",
"4803;""41"";""022107-4"";""Pajero HPE Full 3.2 4x4 T.I.Dies. 5p Aut"";""1""",
"4804;""56"";""002104-0"";""Hilux CD SR 4x2 2.7 16V/2.7 Flex Mec."";""1""",
"4809;""20"";""031029-8"";""F430 SCUDERIA F1"";""1""",
"4810;""22"";""003329-4"";""EDGE SEL 3.5 V6 24V AWD Aut."";""1""",
"4811;""33"";""033050-7"";""Defender 110 SVX Lim.Edit. 2.4 T.Diesel"";""1""",
"4812;""33"";""033049-3"";""Defender 90 SVX Lim.Edit. 2.4 T.Diesel"";""1""",
"4813;""41"";""022108-2"";""OUTLANDER 2.4 16V 170cv Aut."";""1""",
"4814;""44"";""024159-8"";""207 SW ESCAPADE 1.6 16V Flex 5p"";""1""",
"4815;""54"";""027057-1"";""Impreza SD 2.0 16V 160cv Aut."";""1""",
"4816;""58"";""029078-5"";""XC 60 3.0 AWD 5p"";""1""",
"4823;""7"";""009133-2"";""M3 Sedan 4.0 32V"";""1""",
"4824;""13"";""011092-2"";""C4 Picasso/Pic. La Luna 2.0 16V  Aut."";""1""",
"4825;""21"";""001268-8"";""Palio 1.0 Celebr. ECONOMY F.Flex 8V 2p"";""1""",
"4826;""21"";""001269-6"";""Palio 1.0 Cel. ECON./ITALIA F.Flex 8V 4p"";""1""",
"4827;""21"";""001266-1"";""Palio 1.0 ECONOMY Fire Flex 8V 2p"";""1""",
"4828;""21"";""001267-0"";""Palio 1.0 ECONOMY Fire Flex 8V 4p"";""1""",
"4829;""22"";""003330-8"";""EcoSport XLT FREESTYLE 2.0 Flex 16V 5p"";""1""",
"4830;""29"";""017021-6"";""Grand Cherokee Limited 3.0 TB Dies. Aut"";""1""",
"4831;""39"";""021218-0"";""Classe B 170 1.7 116cv Aut."";""1""",
"4832;""39"";""021217-2"";""GLK 280 3.0 V6 24V 4x4 231cv Aut."";""1""",
"4833;""48"";""025157-7"";""Master 2.5 dCi Escolar 115cv 16/19L Dies"";""1""",
"4834;""48"";""025158-5"";""Master 2.5 dCi Executivo 115cv 16L Dies"";""1""",
"4835;""59"";""005285-0"";""Golf GT 2.0 Mi T. Flex 8V 4p Tiptronic"";""1""",
"4836;""59"";""005286-8"";""SPACEFOX Route 1.6 Mi T.Flex 5p"";""1""",
"4838;""22"";""003331-6"";""TRANSIT Furgão 3330 2.4 TDCI Curto Dies."";""1""",
"4839;""22"";""003332-4"";""TRANSIT Furgão 3550 2.4 TDCI Longo Dies."";""1""",
"4840;""22"";""003333-2"";""TRANSIT Van 3550 2.4 TDCI 14lug. Diesel"";""1""",
"4841;""23"";""004357-5"";""CAPTIVA SPORT FWD 2.4 16V 171/185cv"";""1""",
"4843;""6"";""008132-9"";""A4 2.0 16V TFSI 183/180cv Multitronic"";""1""",
"4844;""6"";""008133-7"";""A4 2.0 Avant TFSI 183/180cv Multitroni"";""1""",
"4845;""13"";""011095-7"";""C4 Excl.2.0/2.0 Solaris Flex 16V 5p Aut."";""1""",
"4846;""13"";""011093-0"";""C4 GLX 1.6 Flex 16V 5p Mec."";""1""",
"4847;""13"";""011094-9"";""C4 GLX 2.0 Flex 16V 5p Aut."";""1""",
"4848;""22"";""003334-0"";""Ranger XLS 3.0 PSE Storm 4x4 CD TB Dies."";""1""",
"4849;""23"";""004358-3"";""PRISMA Sed. Joy/ LS 1.0 8V FlexPower 4p"";""1""",
"4850;""23"";""004359-1"";""PRISMA Sed. Maxx 1.0 8V FlexPower 4p"";""1""",
"4851;""154"";""070004-5"";""TOPIC ESCOLAR L 2.2 8V/ 2.0 16V 4p"";""1""",
"4852;""154"";""070005-3"";""TOPIC ESCOLAR SL 2.2 8V/ 2.0 16V 4p"";""1""",
"4853;""154"";""070001-0"";""TOPIC FURGAO L 2.2 8V/ 2.0 16V 4p"";""1""",
"4854;""154"";""070002-9"";""TOPIC VAN L 2.2 8V/ 2.0 16V 4p"";""1""",
"4855;""154"";""070003-7"";""TOPIC VAN SL 2.2 8V/ 2.0 16V 4p"";""1""",
"4856;""39"";""021219-9"";""CLC 200 Kompressor 1.8 184cv Aut."";""1""",
"4857;""59"";""005287-6"";""EOS Cab. 2.0 Turbo FSI Tiptronic"";""1""",
"4859;""21"";""001271-8"";""Punto T-JET 1.4 16V Turbo 5p"";""1""",
"4860;""21"";""001272-6"";""Siena EL 1.0 mpi Fire Flex 8V 4p"";""1""",
"4861;""21"";""001273-4"";""Siena EL Celeb. 1.0 mpi Fire Flex 8V 4p"";""1""",
"4862;""21"";""001270-0"";""Stilo Dualogic 1.8 BlackMotion Flex 8V"";""1""",
"4863;""31"";""018068-8"";""MOHAVE EX 3.8 V6 24V 275cv 4x4 Aut."";""1""",
"4864;""43"";""023082-0"";""LIVINA 1.6 16V Flex Fuel 5p"";""1""",
"4865;""43"";""023083-9"";""LIVINA SL 1.6 16V Flex Fuel 5p"";""1""",
"4866;""43"";""023084-7"";""LIVINA 1.8 16V Flex Fuel Aut."";""1""",
"4867;""43"";""023085-5"";""LIVINA SL 1.8 16V Flex Fuel Aut."";""1""",
"4868;""48"";""025160-7"";""SYMBOL Expression Hi-Flex 1.6 16V 4p"";""1""",
"4869;""48"";""025159-3"";""SYMBOL Privilège Hi-Flex 1.6 16V 4p"";""1""",
"4887;""7"";""009021-2"";""Z3 Roadster 2.8"";""1""",
"4888;""13"";""011097-3"";""C4 Excl./Excl. Solar. 2.0 Flex 16V Mec."";""1""",
"4889;""13"";""011096-5"";""C4 GLX 2.0 Flex 16V 5p Mec."";""1""",
"4890;""149"";""067004-9"";""Buggy Off Road 1.8 8V"";""1""",
"4891;""31"";""018069-6"";""MOHAVE EX 3.0 V6 24V 256cv TB Dies. Aut."";""1""",
"4892;""156"";""071002-4"";""COOPER 1.6 Aut."";""1""",
"4893;""156"";""071001-6"";""COOPER 1.6 Mec."";""1""",
"4894;""156"";""071003-2"";""COOPER S 1.6 Aut."";""1""",
"4895;""156"";""071004-0"";""COOPER S Clubman 1.6 Aut."";""1""",
"4896;""48"";""025166-6"";""Megane G. Tour EXTREME 2.0 16V Aut."";""1""",
"4897;""48"";""025165-8"";""Megane G. Tour EXTREME 2.0 16V Mec."";""1""",
"4898;""48"";""025164-0"";""Megane G. Tour EXTREME Hi-Flex 1.6 Mec."";""1""",
"4899;""48"";""025163-1"";""Megane Sed. EXTREME 2.0 16V Aut."";""1""",
"4900;""48"";""025162-3"";""Megane Sed. EXTREME 2.0 16V Mec."";""1""",
"4901;""48"";""025161-5"";""Megane Sed. EXTREME HI-Flex 1.6 16V Mec."";""1""",
"4902;""157"";""072002-0"";""fortwo passion cabrio 1.0 62kw/Tritop"";""1""",
"4903;""157"";""072001-1"";""fortwo passion coupé 1.0 62kw"";""1""",
"4904;""55"";""028044-5"";""Grand Vitara 3.2 24V 4WD 5p Aut."";""1""",
"4905;""56"";""002106-7"";""Hilux SW4 SR 4x2 2.7/2.7 Flex 16V Mec."";""1""",
"4906;""56"";""002107-5"";""Hilux SW4 SR 4x2 2.7/ 2.7 Flex 16V Aut."";""1""",
"4907;""56"";""002105-9"";""Hilux SW4 SRV 4x4 4.0 V6 24V Aut."";""1""",
"4908;""59"";""005289-2"";""Parati TITAN 1.6 Mi Total Flex 8V 4p"";""1""",
"4909;""59"";""005288-4"";""Polo BLUEMOTION 1.6 Total Flex 8V 5p"";""1""",
"4919;""7"";""009134-0"";""M3 Cabrio 4.0 32V"";""1""",
"4920;""21"";""001275-0"";""LINEA LX 1.9/ 1.8 Flex 16V Dualogic 4p"";""1""",
"4921;""21"";""001274-2"";""LINEA LX 1.9/ 1.8 Flex 16V 4p"";""1""",
"4922;""22"";""003335-9"";""Fusion SEL 2.5 16V 173cv Aut."";""1""",
